name,company_name_unique,founded_year,founded_date,closed_date,acquired_date,acquired_by_company_name_unique,employees,domain,total_funding_usd,annual_revenue,hq_region,status,ipo_date,independence,stock_symbol_1,stock_symbol_2,competitor_1,competitor_2,competitor_3,competitor_4,competitor_5,competitor_6,competitor_7,competitor_8,competitor_9,competitor_10,notes
Tred,tred,2011,2011,,,,10,tred.com,$2.7M,$25.3M,"Seattle,Washington",Private,,Y,,,Carlypso,Instamotor,Carkibo,carwow,LeaseFetcher,,,,,,
Instamotor,instamotor,2014,2014,,,,33,instamotor.com,$7.2M,$60M,"San Francisco,California",Private,,Y,,,Carlypso,Tred,Carkibo,CarGurus,LeaseFetcher,,,,,,
Carkibo,carkibo,2013,2013,,,,58,carkibo.com,$ -,$10.4M,"San Jose,California",Private,,Y,,,Carlypso,Instamotor,Tred,CarGurus,LeaseFetcher,,,,,,
LeaseFetcher,leasefetcher,2017,2017,,,,54,leasefetcher.co.uk,$ -,$ < 1M,"Glasgow,England",Private,,Y,,,Tred,Instamotor,CarGurus,Carlypso,Carfax,,,,,,
NAPA,napaonline,1925,1925,,,,304,napaonline.com,$ -,$52.5M,"Atlanta,Georgia",Private,,Y,,,Parts Authority,Dash,ABC Auto Parts,Standard Auto Parts,AutoZone,Pep Boys,,,,,
Parts Authority,partsauthority,1972,1972,,,,446,partsauthority.com,$ -,$45M,"New Hyde Park,New York",Private,,Y,,,Dash,NAPA,ABC Auto Parts,AutoZone,Pep Boys,Advance Auto Parts,,,,,
Dash,dash,2012,2012,,,,9,dash.by,$118K,$ < 1M,"New York, New York",Private,,Y,,,Automatic Labs,Mojio,Zubie,Raxel Telematics,Napino Auto & Electronics,PACE,,,,,
Dorman Products,dormanproducts,1918,1918,,,,"2,061",dormanproducts.com,$ -,$902.8M,"Colmar,Pennsylvania",Private,,Y,NASDAQ,,BBB,MPA,CARDONE,Remy,Valeo,DENSO,Blue Streak Electronics,,,,
Aci Auto,,,,,,,,,$ -,,,Private,,Y,,,,,,,,,,,,,
AutoZone,autozone,1979,1979,,,,"84,000",autozone.com,$ -,$8.8B,"Memphis,Tennessee",public,1991-04-12,Y,NYSE,,Pep Boys,Advance Auto Parts,U.S. Auto Parts,NAPA,Parts Authority,O'Reilly Auto Parts,,,,,
