"competitor_name_unique","company_name_unique","rank","weight","company_uuid","company_founded_on","company_acquired_on","company_closed_on","competitor_uuid","competitor_founded_on","competitor_acquired_on","competitor_closed_on"
"disney-abc-television-group","nbcuniversal",6,1,"a4aa27bd-c688-65b1-a02a-4f02d021d958","2004-05-01","2011-01-29",NA,"67bfd456-697d-7ffc-933c-775d3727dc29","1985-01-01",NA,NA
"dmn3","iwco-direct",3,1,"8b77b552-30da-7755-6b67-87bcc3ae327a","1969-01-01","2017-12-18",NA,"156ad657-68f3-6da5-ed90-57f146e22377","1992-01-01",NA,NA
"dmn3","mspark",4,1,"e9271538-6d8a-4950-a2e0-2b8e1ad300a5","1988-01-01",NA,NA,"156ad657-68f3-6da5-ed90-57f146e22377","1992-01-01",NA,NA
"dmn3","mct",6,1,"70bd8a86-093d-8926-5812-5de7dac31b9d","2012-06-01",NA,NA,"156ad657-68f3-6da5-ed90-57f146e22377","1992-01-01",NA,NA
"dnb","tracxn",7,1,"6034d40c-1d85-7bae-7f20-0b9fa7c12adb","2013-06-01",NA,NA,"9f9479ed-3513-432a-ac21-0fcd2576ea43","2010-01-01",NA,NA
"dnb","insideview",4,1,"76bf5088-b164-58df-5214-6dcf154efc1f","2005-01-01",NA,NA,"9f9479ed-3513-432a-ac21-0fcd2576ea43","2010-01-01",NA,NA
"dnb","owler",3,1,"6ee90eaf-6f29-8395-c6af-1bf3cc41d0a3","2011-05-01",NA,NA,"9f9479ed-3513-432a-ac21-0fcd2576ea43","2010-01-01",NA,NA
"dnb","zoominfo",6,1,"6861db1b-f498-4936-701b-9aa4bc65809e","2000-02-01","2017-08-14",NA,"9f9479ed-3513-432a-ac21-0fcd2576ea43","2010-01-01",NA,NA
"dnb","cb-insights",7,1,"9ac9678f-78a6-fe42-31be-ca6a62629a27","2008-01-01",NA,NA,"9f9479ed-3513-432a-ac21-0fcd2576ea43","2010-01-01",NA,NA
"dnb","datafox",2,1,"8a224aad-06f0-86f0-019e-25843324e62d","2013-02-01",NA,NA,"9f9479ed-3513-432a-ac21-0fcd2576ea43","2010-01-01",NA,NA
"dnb","jato",7,1,"62d9c159-0858-87f9-2da2-5ec2352e4210","1984-01-01",NA,NA,"9f9479ed-3513-432a-ac21-0fcd2576ea43","2010-01-01",NA,NA
"dnb","eurotaxglass",5,1,"a4c706f0-6a4d-48ab-8eef-c885972a4dd0","1930-06-01",NA,NA,"9f9479ed-3513-432a-ac21-0fcd2576ea43","2010-01-01",NA,NA
"dnb","tlo",7,1,"cbfe41bf-ac06-528e-5e58-bccd0f1e1b8a","2009-01-01",NA,NA,"9f9479ed-3513-432a-ac21-0fcd2576ea43","2010-01-01",NA,NA
"dnb","privco",3,1,"6190178f-f0b0-a112-de25-693f9fc425cd","2011-01-01",NA,NA,"9f9479ed-3513-432a-ac21-0fcd2576ea43","2010-01-01",NA,NA
"dnb","knovel",3,1,"1d2affd0-5f9f-d23d-8eaf-a449ee3835ec","2000-01-12",NA,NA,"9f9479ed-3513-432a-ac21-0fcd2576ea43","2010-01-01",NA,NA
"dnb","pitchbook-data",5,1,"49450071-22ed-170e-b470-cef1c93aa463","2007-01-01","2016-10-14",NA,"9f9479ed-3513-432a-ac21-0fcd2576ea43","2010-01-01",NA,NA
"dnb","duedil",1,1,"2cc8c396-eeb9-9cc3-be04-22c86c19335d","2011-04-25",NA,NA,"9f9479ed-3513-432a-ac21-0fcd2576ea43","2010-01-01",NA,NA
"dodge","volkswagenag",8,1,"6c1d0ba9-bfbd-4d95-a2cb-451d87e21c99","1937-05-28",NA,NA,"1fcdf182-d977-6caa-4ba4-ae4ea8a187d5","1900-01-01",NA,NA
"dodge","gm",5,1,"b058b3aa-2130-4775-a466-2721c172580f","1908-09-16",NA,NA,"1fcdf182-d977-6caa-4ba4-ae4ea8a187d5","1900-01-01",NA,NA
"dodge","general-motors",8,1,"5087a047-80c5-4aa3-dfdf-30dd8ac88b5e","1908-01-01",NA,NA,"1fcdf182-d977-6caa-4ba4-ae4ea8a187d5","1900-01-01",NA,NA
"dodgeofftworth","goodsonacura",2,1,"ed2e279c-d4c7-433c-ad06-143d437350cf","1986-01-01",NA,NA,"37425578-e746-4966-823c-66f414577d6c","2014-06-01",NA,NA
"dormanproducts","hanyale",1,1,"860b79e1-fd46-43b5-92e3-bf4d6716c793","1990-01-01",NA,NA,"b8beb891-da8f-4a55-8763-34805538ba05","1918-01-01",NA,NA
"dow-jones","nex-group",7,1,"1da99d0f-a33c-4a2a-b11c-ea3f6d03510f","1998-01-01","2018-03-29",NA,"93ad161c-86f3-3f2d-f130-215dcc8cd59c","1882-04-01","2007-12-13",NA
"dow-jones","standard-poor-s",7,1,"da6ab497-d22b-4940-95db-9a46eff6ae54","1941-01-01",NA,NA,"93ad161c-86f3-3f2d-f130-215dcc8cd59c","1882-04-01","2007-12-13",NA
"dow-jones","bloomberg",3,1,"3eae151d-c4b2-9a66-45a7-0dd77cdc3ab1","1981-01-01",NA,NA,"93ad161c-86f3-3f2d-f130-215dcc8cd59c","1882-04-01","2007-12-13",NA
"dow-jones","access-intelligence",7,1,"f72ec205-fcda-3bdd-b442-77a05e0d7dd2","1977-01-01",NA,NA,"93ad161c-86f3-3f2d-f130-215dcc8cd59c","1882-04-01","2007-12-13",NA
"dow-jones","thomson-reuters",7,1,"af1cb234-2108-fc02-272a-5ade65278655","2008-04-17",NA,NA,"93ad161c-86f3-3f2d-f130-215dcc8cd59c","1882-04-01","2007-12-13",NA
"dow-jones","manzama",8,1,"44864200-174e-19df-511b-a9d51b93e436","2010-01-01",NA,NA,"93ad161c-86f3-3f2d-f130-215dcc8cd59c","1882-04-01","2007-12-13",NA
"dow-jones","clearserve",5,1,"cd3d4955-6f49-3a6e-71f8-eb9d03b3c9ec","2012-01-01",NA,NA,"93ad161c-86f3-3f2d-f130-215dcc8cd59c","1882-04-01","2007-12-13",NA
"dow-jones","crain-communications",2,1,"eb129cf4-0066-4790-7ec4-9bd0421f16d7","1916-01-01",NA,NA,"93ad161c-86f3-3f2d-f130-215dcc8cd59c","1882-04-01","2007-12-13",NA
"dow-jones","american-city-business-journals",1,1,"a5c65812-12f2-6e25-8376-859325f722c6","1985-01-01",NA,NA,"93ad161c-86f3-3f2d-f130-215dcc8cd59c","1882-04-01","2007-12-13",NA
"dow-jones","mergermarket",7,1,"e4cc715a-b18c-06f2-ae77-e542238154a9","2000-01-01",NA,NA,"93ad161c-86f3-3f2d-f130-215dcc8cd59c","1882-04-01","2007-12-13",NA
